,Facies,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Formation_A1 LM,Formation_A1 SH,Formation_B1 LM,Formation_B1 SH,Formation_B2 LM,Formation_B2 SH,Formation_B3 LM,Formation_B3 SH,Formation_B4 LM,Formation_B4 SH,Formation_B5 LM,Formation_B5 SH,Formation_C LM,Formation_C SH,Well Name_ALEXANDER D,Well Name_CHURCHMAN BIBLE,Well Name_CROSS H CATTLE,Well Name_KIMZEY A,Well Name_LUKE G U,Well Name_NEWBY,Well Name_NOLAN,Well Name_Recruit F9,Well Name_SHANKLE,Well Name_SHRIMPLIN
42,2,0.880614889992991,0.535,2.9014215940827497,2.9454910571172443,1.4586150226995167,1,0.021,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
43,8,0.8771440300835647,0.628,2.533696813957432,2.5718485799218085,1.5040773967762742,2,1.0,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
44,8,0.872429842408693,0.702,2.1162555148025524,2.041869468772079,1.6094379124341003,2,0.981,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
45,8,0.8690492156242376,0.762,1.9021075263969205,1.7218733417638885,1.791759469228055,2,0.963,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
46,8,0.8735067235575774,0.823,1.8082887711792655,1.7263316639055997,1.8718021769015913,2,0.944,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
47,6,0.8780498301284401,0.915,1.7227665977411035,1.7934247485471162,1.8870696490323797,2,0.926,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
48,6,0.8814760187376538,0.999,1.6863989535702288,1.8397556674963105,1.8718021769015913,2,0.907,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
49,6,0.8836365859330033,1.045,1.7404661748405046,1.843719208158766,1.8562979903656263,2,0.889,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
50,6,0.8835823125620478,1.064,1.824549292051046,1.9147142932868324,1.8562979903656263,2,0.87,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
51,6,0.8837686762894996,1.051,2.0149030205422647,1.998773638612381,1.8562979903656263,2,0.852,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
52,6,0.8815256487941832,1.018,2.174751721484161,2.1059617514892315,1.8718021769015913,2,0.833,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
53,6,0.8777970347709065,0.972,2.3978952727983707,2.295056826573254,1.7749523509116738,2,0.796,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
54,6,0.8767212862142528,0.952,2.2617630984737906,2.3374694948475474,1.7047480922384253,2,0.778,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
55,6,0.8738680039282694,0.924,1.8562979903656263,2.3145136638593193,1.667706820558076,2,0.759,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
56,6,0.8725862225115597,0.876,1.5260563034950492,2.221917189926591,1.62924053973028,2,0.741,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
57,6,0.8766200372862618,0.826,1.8082887711792655,2.1832383353614797,1.667706820558076,2,0.722,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
58,6,0.8782974660719676,0.777,2.3702437414678603,2.2591555350667094,1.667706820558076,2,0.704,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
59,6,0.8763876467012439,0.728,2.624668592163159,2.4561641809223462,1.6863989535702288,2,0.685,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
60,7,0.8724049822970825,0.699,2.766319109226186,2.59338729278207,1.6094379124341003,2,0.667,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
61,7,0.8729573788700102,0.682,2.833213344056216,2.6769034721053733,1.589235205116581,2,0.648,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
62,4,0.8740595972623209,0.676,2.8622008809294686,2.6311691567662523,1.547562508716013,2,0.63,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
63,4,0.8782609037486276,0.671,2.785011242238338,2.54827260874315,1.547562508716013,2,0.611,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
64,4,0.8791965215455428,0.68,2.312535423847214,2.299580583973747,1.7047480922384253,2,0.574,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
65,4,0.8767804610324177,0.71,1.9600947840472698,2.295560478057081,1.8082887711792655,2,0.556,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
66,4,0.8785503465084852,0.744,1.667706820558076,2.3238572282695853,1.8718021769015913,2,0.537,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
67,6,0.8765691019224439,0.786,1.3609765531356006,2.3513752571634776,1.8870696490323797,2,0.519,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
68,6,0.8806084560583431,0.839,1.410986973710262,2.2915241456346207,1.8562979903656263,2,0.5,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
69,6,0.8843017256197957,0.881,1.589235205116581,2.203869120054888,1.840549633397487,2,0.481,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
70,6,0.8874863112440248,0.911,1.824549292051046,2.063693184711697,1.840549633397487,2,0.463,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
71,6,0.887518213074207,0.94,1.9315214116032138,1.9579798731426437,1.824549292051046,2,0.444,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
72,6,0.8864914866153176,0.972,1.9459101490553132,1.9650122509287997,1.8870696490323797,2,0.426,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
73,6,0.8846734703010692,1.008,1.916922612182061,2.033397603178429,1.8870696490323797,2,0.407,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
74,6,0.8783987384390533,1.061,1.5260563034950492,2.0624225365102413,1.9600947840472698,2,0.37,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
75,6,0.8734990897597115,1.076,1.5260563034950492,1.9810014688665833,1.9740810260220096,2,0.352,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
76,6,0.8671844269558904,1.071,1.3862943611198906,1.9775472339984959,1.916922612182061,2,0.333,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
77,6,0.8699517342049778,1.058,1.5260563034950492,1.9726911717329554,1.9021075263969205,2,0.315,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
78,6,0.871325964812371,1.038,1.1939224684724346,1.9980959022258835,1.8718021769015913,2,0.296,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
79,6,0.8675772749699558,1.005,1.1631508098056809,2.0294631718735947,1.8562979903656263,2,0.278,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
