,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
57,0,1,2836.5,175.622,0.72,8.9,12.15,3.349,2,0.816,9
58,0,1,2837.0,153.965,0.756,7.6,11.9,3.31,2,0.803,9
59,0,1,2837.5,120.076,0.766,7.2,12.2,3.365,2,0.789,9
60,0,1,2838.0,91.434,0.787,7.1,12.15,3.392,2,0.776,7
61,0,1,2838.5,69.312,0.874,4.6,10.4,3.293,2,0.763,9
62,0,1,2839.0,54.828,1.029,0.8,8.2,3.395,2,0.75,7
63,0,1,2839.5,50.854,1.149,0.3,6.85,3.5,2,0.737,9
64,0,1,2840.0,54.632,1.09,1.0,7.4,3.576,2,0.724,9
65,0,1,2840.5,56.835,0.924,4.1,8.45,3.555,2,0.711,7
66,0,1,2841.0,60.393,0.788,7.1,10.05,3.591,2,0.697,7
67,0,1,2841.5,58.94,0.733,8.1,11.15,3.576,2,0.684,7
68,0,1,2842.0,49.719,0.754,6.1,10.75,3.669,2,0.671,7
69,0,1,2842.5,41.404,0.819,3.5,9.55,3.872,2,0.658,7
70,0,1,2843.0,36.084,0.882,1.6,8.2,4.125,2,0.645,7
71,0,1,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,9
72,0,1,2844.0,24.072,0.841,-0.6,6.8,4.302,2,0.618,9
73,0,1,2844.5,22.62,0.733,-2.5,7.65,4.348,2,0.605,9
74,0,1,2845.0,22.408,0.597,-3.8,9.5,4.29,2,0.592,9
75,0,1,2845.5,21.184,0.469,-2.7,11.05,4.255,2,0.579,9
76,0,1,2846.0,21.796,0.375,-2.3,13.35,4.213,2,0.566,9
77,0,1,2846.5,23.925,0.314,-1.8,15.1,4.363,2,0.553,9
78,0,1,2847.0,24.464,0.278,-1.3,16.15,4.495,2,0.539,9
79,0,1,2847.5,26.039,0.257,-1.9,16.55,4.602,2,0.526,9
80,0,1,2848.0,27.491,0.247,-2.5,16.45,4.544,2,0.513,9
81,0,1,2848.5,28.193,0.249,-2.4,16.3,4.587,2,0.5,9
82,0,1,2849.0,28.634,0.265,-1.9,16.15,4.678,2,0.487,9
83,0,1,2849.5,29.809,0.299,-1.0,15.2,4.866,2,0.474,9
84,0,1,2850.0,31.172,0.349,-1.5,14.15,4.783,2,0.461,9
85,0,1,2850.5,33.448,0.418,-1.1,12.65,4.688,2,0.447,9
86,0,1,2851.0,33.514,0.503,-1.2,11.3,4.628,2,0.434,9
87,0,1,2851.5,35.146,0.593,-0.5,10.05,4.387,2,0.421,9
88,0,1,2852.0,35.953,0.671,-0.7,9.45,4.291,2,0.408,9
89,0,1,2852.5,35.178,0.729,-0.6,9.0,4.178,2,0.395,9
90,0,1,2853.0,36.109,0.773,0.1,8.35,4.203,2,0.382,9
91,0,1,2853.5,38.769,0.82,1.3,7.55,4.262,2,0.368,7
92,0,1,2854.0,39.511,0.873,1.3,7.05,4.387,2,0.355,7
93,0,1,2854.5,40.523,0.927,2.6,6.5,4.006,2,0.342,7
94,0,1,2855.0,42.694,0.964,2.8,6.8,3.718,2,0.329,7
95,0,1,2855.5,45.297,0.959,3.0,7.3,3.594,2,0.316,7
96,0,1,2856.0,48.145,0.915,3.8,8.2,3.46,2,0.303,7
97,0,1,2856.5,51.041,0.862,5.9,8.75,3.333,2,0.289,7
98,0,1,2857.0,56.125,0.825,7.4,9.3,3.336,2,0.276,7
99,0,1,2857.5,62.205,0.807,6.4,9.9,3.362,2,0.263,7
100,0,1,2858.0,64.865,0.794,4.7,10.25,3.244,2,0.25,7
101,0,1,2858.5,68.186,0.771,4.1,10.25,3.174,2,0.237,7
102,0,1,2859.0,72.421,0.743,4.1,10.55,3.174,2,0.224,7
103,0,1,2859.5,74.322,0.73,4.5,10.65,3.187,2,0.211,7
104,0,1,2860.0,72.543,0.748,4.1,10.35,3.359,2,0.197,7
105,0,1,2860.5,65.672,0.814,3.5,9.05,3.618,2,0.184,7
106,0,1,2861.0,57.153,0.951,1.7,6.75,3.902,2,0.171,7
107,0,1,2861.5,46.056,1.148,0.1,4.55,4.221,2,0.158,9
108,0,1,2862.0,37.961,1.324,0.0,3.3,4.561,2,0.145,9
109,0,1,2862.5,33.579,1.402,-0.2,2.8,4.799,2,0.132,9
110,0,1,2863.0,31.212,1.439,-0.4,2.7,4.874,2,0.118,9
111,0,1,2863.5,30.176,1.486,-0.5,2.55,4.787,2,0.105,9
112,0,1,2864.0,29.858,1.507,-0.7,2.75,4.622,2,0.092,9
113,0,1,2864.5,29.923,1.433,-0.6,3.3,4.375,2,0.079,9
114,0,1,2865.0,34.428,1.279,0.0,4.0,4.115,2,0.066,9
115,0,1,2865.5,39.935,1.134,0.8,4.6,3.979,2,0.053,4
116,0,1,2866.0,39.935,1.134,0.8,4.6,3.979,2,0.053,4
117,0,1,2866.5,46.823,1.05,1.3,5.15,3.727,2,0.039,4
118,0,1,2867.0,57.969,1.01,2.0,5.2,3.537,2,0.026,7
119,0,1,2867.5,71.246,0.954,2.3,5.65,3.482,2,0.013,7
120,3,1,2868.0,82.548,0.843,3.2,7.2,3.532,1,1.0,4
121,3,1,2868.5,92.119,0.718,4.9,8.95,3.484,1,0.968,4
122,3,1,2869.0,93.564,0.635,7.0,11.1,3.402,1,0.935,4
123,3,1,2869.5,86.26,0.615,9.0,11.9,3.486,1,0.903,4
124,3,1,2870.0,77.097,0.637,9.5,11.25,3.56,1,0.871,4
125,3,1,2870.5,67.68,0.651,9.2,10.7,3.473,1,0.839,4
126,3,1,2871.0,64.049,0.639,8.5,10.65,3.401,1,0.806,4
127,3,1,2871.5,67.566,0.621,7.5,11.45,3.307,1,0.774,4
128,3,1,2872.0,69.728,0.604,7.1,12.45,3.28,1,0.742,9
129,3,1,2872.5,67.966,0.582,8.3,13.45,3.253,1,0.71,9
130,3,1,2873.0,65.803,0.565,9.6,13.5,3.284,1,0.677,9
131,3,1,2873.5,62.351,0.575,10.1,11.85,3.405,1,0.645,9
132,3,1,2874.0,59.512,0.621,10.1,9.65,3.504,1,0.613,4
133,3,1,2874.5,61.176,0.691,9.9,8.15,3.587,1,0.581,4
134,3,1,2875.0,65.754,0.751,9.6,7.7,3.605,1,0.548,4
135,3,1,2875.5,66.66,0.768,9.0,8.2,3.505,1,0.516,4
136,3,1,2876.0,64.604,0.742,8.0,8.9,3.411,1,0.484,4
137,3,1,2876.5,61.699,0.696,7.0,9.2,3.319,1,0.452,4
138,3,1,2877.0,58.353,0.657,5.6,9.3,3.265,1,0.419,4
139,3,1,2877.5,55.929,0.64,4.2,9.2,3.167,1,0.387,4
140,3,1,2878.0,57.414,0.64,4.0,9.1,3.181,1,0.355,4
141,3,1,2878.5,60.393,0.64,3.8,9.3,3.133,1,0.323,4
142,3,1,2879.0,65.901,0.636,4.2,9.9,3.163,1,0.29,4
143,3,1,2879.5,71.385,0.635,5.8,10.8,3.131,1,0.258,4
144,3,1,2880.0,75.816,0.625,4.9,13.55,2.997,1,0.226,4
145,3,1,2880.5,75.334,0.587,5.6,15.9,2.938,1,0.194,4
146,3,1,2881.0,72.69,0.558,4.8,18.5,2.969,1,0.129,4
147,3,1,2881.5,68.635,0.558,6.9,19.45,3.104,1,0.097,4
148,3,1,2882.0,60.695,0.52,7.5,21.25,3.147,1,0.065,4
149,3,1,2882.5,51.645,0.501,5.6,18.1,3.354,1,0.032,4
150,2,1,2883.0,41.918,0.548,7.0,10.9,3.764,2,1.0,4
151,2,1,2883.5,32.991,0.633,7.7,6.35,4.109,2,0.968,4
152,2,1,2884.0,28.258,0.705,5.0,6.1,4.154,2,0.935,4
153,2,1,2884.5,26.635,0.769,4.1,5.35,4.321,2,0.903,4
154,2,1,2885.0,25.541,0.847,3.6,4.8,4.476,2,0.871,4
155,2,1,2885.5,23.795,0.948,2.3,4.45,4.565,2,0.839,4
156,2,1,2886.0,20.719,1.061,2.2,3.5,4.615,2,0.806,4
157,2,1,2886.5,18.499,1.139,2.4,3.2,4.696,2,0.774,4
158,2,1,2887.0,19.446,1.118,1.5,4.65,4.668,2,0.742,4
159,2,1,2887.5,21.388,1.019,1.0,7.1,4.579,2,0.71,4
160,2,1,2888.0,24.178,0.908,1.2,9.2,4.292,2,0.677,4
161,2,1,2888.5,27.638,0.812,0.0,11.1,4.046,2,0.645,9
162,2,1,2889.0,31.669,0.724,0.9,11.45,3.822,2,0.613,4
163,2,1,2889.5,39.389,0.627,3.4,11.2,3.629,2,0.581,4
164,2,1,2890.0,49.385,0.535,6.4,11.5,3.517,2,0.548,9
165,2,1,2890.5,58.516,0.488,9.0,11.4,3.474,2,0.516,9
166,2,1,2891.0,66.619,0.511,9.2,10.8,3.613,2,0.484,4
167,2,1,2891.5,67.296,0.602,6.4,9.5,3.862,2,0.452,9
168,2,1,2892.0,57.798,0.745,3.7,8.25,4.052,2,0.419,4
169,2,1,2892.5,48.169,0.912,1.1,7.45,4.241,2,0.387,4
170,2,1,2893.0,41.437,1.045,0.4,6.3,4.476,2,0.355,4
171,2,1,2893.5,39.348,1.117,0.1,5.35,4.712,2,0.323,4
172,2,1,2894.0,49.312,1.144,1.0,4.5,4.56,2,0.29,4
173,2,1,2894.5,61.984,1.143,0.7,4.85,4.605,2,0.258,4
174,2,1,2895.0,73.506,1.122,0.9,5.75,4.574,2,0.226,4
175,2,1,2895.5,74.208,1.095,0.3,6.85,4.478,2,0.194,4
176,2,1,2896.0,67.819,1.072,-0.7,7.55,4.444,2,0.161,9
177,2,1,2896.5,61.625,1.057,-1.2,7.4,4.439,2,0.129,9
178,2,1,2897.0,61.625,1.057,-1.2,7.4,4.439,2,0.129,9
179,2,1,2897.5,55.481,1.041,-0.9,6.55,4.335,2,0.097,9
180,2,1,2898.0,57.251,0.98,-0.1,5.75,3.907,2,0.065,9
181,2,1,2898.5,67.28,0.84,-0.6,7.1,3.58,2,0.032,9
182,5,1,2899.0,76.02,0.686,0.7,9.45,3.23,1,1.0,4
183,5,1,2899.5,84.457,0.603,2.5,12.45,2.967,1,0.947,4
184,5,1,2900.0,89.019,0.595,4.6,14.9,2.794,1,0.895,4
185,5,1,2900.5,89.933,0.591,3.9,18.55,2.789,1,0.842,9
186,5,1,2901.0,89.386,0.539,4.5,22.55,2.861,1,0.789,9
187,5,1,2901.5,89.427,0.479,6.2,25.4,2.935,1,0.737,9
188,5,1,2902.0,87.517,0.461,7.6,24.4,3.128,1,0.684,9
189,5,1,2902.5,83.747,0.485,8.7,23.15,3.284,1,0.632,9
190,5,1,2903.0,78.304,0.541,6.1,21.25,3.332,1,0.579,9
191,5,1,2903.5,71.858,0.635,8.5,15.95,3.485,1,0.526,4
192,5,1,2904.0,64.701,0.737,5.0,15.7,3.471,1,0.474,4
193,5,1,2904.5,64.293,0.752,1.7,17.15,3.45,1,0.421,4
194,5,1,2905.0,67.158,0.686,-0.3,19.95,3.276,1,0.368,9
195,5,1,2905.5,72.478,0.631,0.2,20.4,3.171,1,0.316,9
196,5,1,2906.0,78.068,0.614,5.0,18.1,3.252,1,0.211,4
197,5,1,2906.5,73.008,0.592,2.4,20.1,3.175,1,0.158,4
198,5,1,2907.0,64.644,0.543,1.7,22.35,3.302,1,0.105,4
199,5,1,2907.5,49.801,0.538,0.0,20.8,3.551,1,0.053,9
200,4,1,2908.0,35.937,0.628,-2.8,16.8,3.96,2,1.0,8
201,4,1,2908.5,24.203,0.743,-0.3,12.35,4.454,2,0.963,8
202,4,1,2909.0,15.986,0.777,-0.2,11.5,4.657,2,0.926,8
203,4,1,2909.5,12.036,0.773,-0.5,10.55,4.594,2,0.889,8
204,4,1,2910.0,12.746,0.787,-1.2,9.2,4.437,2,0.852,8
205,4,1,2910.5,14.843,0.809,-1.6,7.7,4.351,2,0.815,8
206,4,1,2911.0,17.087,0.806,-1.0,6.8,4.242,2,0.778,9
207,4,1,2911.5,17.977,0.765,0.3,6.45,4.105,2,0.741,9
208,4,1,2912.0,18.834,0.701,-0.1,7.15,4.279,2,0.704,9
209,4,1,2912.5,19.258,0.644,0.4,7.4,4.669,2,0.667,9
210,4,1,2913.0,19.062,0.61,0.6,7.8,5.19,2,0.63,9
211,4,1,2913.5,18.638,0.6,1.8,7.6,5.527,2,0.593,9
212,4,1,2914.0,19.462,0.598,3.4,6.8,6.321,2,0.556,9
213,4,1,2914.5,19.552,0.581,3.1,6.95,6.16,2,0.519,9
214,4,1,2915.0,20.653,0.529,0.9,8.65,5.865,2,0.481,9
215,4,1,2915.5,23.371,0.45,-1.0,11.3,5.315,2,0.444,9
216,4,1,2916.0,25.468,0.391,-1.3,13.75,4.918,2,0.407,9
217,4,1,2916.5,26.292,0.377,-2.3,14.85,4.521,2,0.37,9
218,4,1,2917.0,27.736,0.411,-3.6,14.1,4.443,2,0.333,9
219,4,1,2917.5,29.784,0.482,-3.1,11.85,4.347,2,0.296,9
220,4,1,2918.0,31.041,0.578,-2.2,9.4,4.416,2,0.259,9
221,4,1,2918.5,30.837,0.683,-0.4,7.4,4.394,2,0.222,9
222,4,1,2919.0,32.64,0.807,1.0,5.6,4.343,2,0.185,4
223,4,1,2919.5,33.571,0.942,1.6,4.5,4.086,2,0.148,4
224,4,1,2920.0,39.56,1.003,1.9,4.55,3.811,2,0.111,4
225,4,1,2920.5,47.475,0.931,1.5,6.15,3.625,2,0.074,4
226,4,1,2921.0,56.443,0.821,2.3,8.05,3.393,2,0.037,4
227,7,1,2921.5,64.799,0.751,3.4,9.6,3.12,1,1.0,4
228,7,1,2922.0,69.72,0.711,3.0,12.4,3.03,1,0.95,4
229,7,1,2922.5,72.511,0.637,3.5,16.35,2.984,1,0.9,4
230,7,1,2923.0,74.698,0.525,5.4,20.8,2.915,1,0.85,4
231,7,1,2923.5,74.698,0.525,5.4,20.8,2.915,1,0.85,4
232,7,1,2924.0,73.425,0.458,5.2,21.6,2.92,1,0.8,9
233,7,1,2924.5,71.328,0.486,3.1,17.35,2.995,1,0.75,9
234,7,1,2925.0,68.937,0.587,4.1,13.25,3.122,1,0.7,9
235,7,1,2925.5,66.562,0.671,1.3,13.25,3.243,1,0.65,4
236,7,1,2926.0,64.636,0.663,3.2,13.3,3.324,1,0.6,4
237,7,1,2926.5,66.619,0.625,4.0,13.6,3.33,1,0.55,4
238,7,1,2927.0,66.619,0.625,4.0,13.6,3.33,1,0.55,4
239,7,1,2927.5,65.624,0.635,3.2,12.4,3.309,1,0.5,4
240,7,1,2928.0,65.322,0.68,3.3,9.65,3.315,1,0.45,4
241,7,1,2928.5,67.035,0.707,2.4,8.6,3.232,1,0.4,4
242,7,1,2929.0,68.194,0.693,3.0,8.8,3.157,1,0.35,4
243,7,1,2929.5,69.149,0.646,3.0,10.4,3.034,1,0.3,4
244,7,1,2930.0,72.201,0.588,3.2,13.2,3.052,1,0.25,4
245,7,1,2930.5,73.776,0.542,4.4,16.0,3.132,1,0.2,4
246,7,1,2931.0,72.609,0.525,5.5,17.55,3.31,1,0.15,4
247,7,1,2931.5,66.864,0.55,5.3,16.55,3.625,1,0.1,4
248,7,1,2932.0,53.702,0.62,5.7,13.75,4.003,1,0.05,4
249,6,1,2932.5,40.474,0.713,4.7,11.15,4.278,2,1.0,4
250,6,1,2933.0,28.12,0.774,2.2,10.5,4.537,2,0.9,4
251,6,1,2933.5,20.213,0.769,-1.1,10.95,4.682,2,0.8,9
252,6,1,2934.0,19.193,0.732,-1.0,11.1,4.546,2,0.7,9
253,6,1,2934.5,20.449,0.699,-0.7,10.65,4.386,2,0.6,9
254,6,1,2935.0,21.355,0.679,-0.1,9.95,4.28,2,0.5,9
255,6,1,2935.5,21.641,0.668,1.3,8.95,4.221,2,0.4,4
256,6,1,2936.0,24.203,0.653,2.6,8.3,4.099,2,0.3,4
257,6,1,2936.5,34.574,0.613,2.4,9.0,3.66,2,0.2,4
258,6,1,2937.0,45.231,0.548,2.3,10.45,3.496,2,0.1,4
259,9,1,2937.5,56.427,0.498,2.9,11.35,3.338,1,1.0,9
260,9,1,2938.0,67.06,0.504,1.7,11.65,3.135,1,0.944,9
261,9,1,2938.5,70.838,0.558,2.0,10.8,3.012,1,0.889,4
262,9,1,2939.0,69.932,0.612,3.3,10.05,3.066,1,0.833,4
263,9,1,2939.5,74.526,0.633,4.1,10.25,3.109,1,0.778,4
264,9,1,2940.0,77.611,0.626,5.0,11.0,3.063,1,0.722,4
265,9,1,2940.5,78.59,0.605,5.9,11.55,3.092,1,0.667,4
266,9,1,2941.0,76.729,0.591,5.7,11.95,3.051,1,0.611,9
267,9,1,2941.5,74.11,0.608,3.7,10.95,3.07,1,0.556,4
268,9,1,2942.0,66.407,0.653,2.2,9.6,2.997,1,0.5,4
269,9,1,2942.5,64.081,0.693,1.4,8.6,3.093,1,0.444,4
270,9,1,2943.0,65.885,0.705,0.9,8.55,3.106,1,0.389,4
271,9,1,2943.5,70.299,0.696,1.4,9.0,3.085,1,0.333,4
272,9,1,2944.0,70.299,0.696,1.4,9.0,3.085,1,0.333,4
273,9,1,2944.5,74.551,0.677,3.1,9.65,3.066,1,0.278,4
274,9,1,2945.0,79.659,0.643,3.4,12.5,2.902,1,0.222,4
275,9,1,2945.5,80.402,0.573,-2.8,19.3,2.982,1,0.167,9
276,9,1,2946.0,74.649,0.483,-0.5,23.95,3.14,1,0.111,9
277,9,1,2946.5,63.429,0.461,0.2,24.2,3.394,1,0.056,9
278,8,1,2947.0,47.916,0.598,-7.6,18.9,3.762,2,1.0,9
279,8,1,2947.5,32.469,0.912,-1.4,9.8,4.314,2,0.929,8
280,8,1,2948.0,20.718,1.222,-2.9,7.85,4.863,2,0.857,8
281,8,1,2948.5,15.015,1.233,-1.6,6.4,4.813,2,0.786,8
282,8,1,2949.0,14.084,1.084,-1.1,6.55,4.644,2,0.714,9
283,8,1,2949.5,15.937,0.962,-0.4,7.4,4.634,2,0.643,9
284,8,1,2950.0,19.348,0.901,-1.0,7.9,4.545,2,0.571,9
285,8,1,2950.5,21.469,0.906,-1.1,6.75,4.576,2,0.5,9
286,8,1,2951.0,22.587,0.969,-1.4,5.5,4.527,2,0.429,9
287,8,1,2951.5,25.721,1.079,-0.9,4.45,4.512,2,0.357,9
288,8,1,2952.0,29.45,1.2,0.0,4.0,4.437,2,0.286,4
289,8,1,2952.5,36.313,1.169,-3.3,6.95,3.97,2,0.214,4
290,8,1,2953.0,49.491,0.909,-8.9,13.85,3.695,2,0.143,9
291,11,1,2953.5,69.222,0.469,-6.0,27.9,3.351,1,1.0,9
292,11,1,2954.0,70.968,0.444,-2.5,28.85,3.49,1,0.75,9
293,11,1,2954.5,65.379,0.501,-0.3,22.75,3.9,1,0.5,9
294,11,1,2955.0,54.093,0.56,-0.5,16.75,4.126,1,0.25,9
295,10,1,2955.5,41.633,0.541,3.9,11.55,4.482,2,1.0,4
296,10,1,2956.0,33.644,0.439,3.8,11.7,4.707,2,0.976,4
297,10,1,2956.5,28.977,0.321,1.3,14.45,4.447,2,0.951,9
298,10,1,2957.0,24.611,0.232,-1.1,17.25,4.481,2,0.927,9
299,10,1,2957.5,24.154,0.184,-2.9,19.65,4.327,2,0.902,9
300,10,1,2958.0,25.639,0.173,-2.4,20.5,4.302,2,0.878,9
301,10,1,2958.5,25.957,0.191,-2.4,19.9,4.294,2,0.854,9
302,10,1,2959.0,38.965,0.266,-2.1,17.05,4.228,2,0.805,9
303,10,1,2959.5,45.354,0.301,0.2,14.8,4.127,2,0.78,9
304,10,1,2960.0,53.645,0.327,2.6,12.6,3.908,2,0.756,9
305,10,1,2960.5,60.164,0.338,3.8,12.2,3.74,2,0.732,9
306,10,1,2961.0,64.032,0.334,5.5,13.15,3.538,2,0.707,9
307,10,1,2961.5,66.774,0.323,7.9,14.75,3.558,2,0.683,9
308,10,1,2962.0,68.423,0.313,8.1,15.75,3.476,2,0.659,9
309,10,1,2962.5,63.502,0.318,6.1,14.75,3.682,2,0.634,9
310,10,1,2963.0,57.904,0.349,2.8,12.9,3.937,2,0.61,9
311,10,1,2963.5,52.935,0.415,2.3,10.25,4.133,2,0.585,9
312,10,1,2964.0,45.125,0.507,2.3,8.45,4.248,2,0.561,4
313,10,1,2964.5,39.927,0.605,3.5,6.75,4.468,2,0.537,4
314,10,1,2965.0,36.215,0.703,2.4,6.0,4.575,2,0.512,4
315,10,1,2965.5,31.253,0.787,2.3,4.45,4.557,2,0.488,4
316,10,1,2966.0,28.446,0.832,2.2,3.4,4.573,2,0.463,4
317,10,1,2966.5,27.296,0.821,1.2,4.4,4.79,2,0.439,4
318,10,1,2967.0,28.944,0.755,-0.4,7.3,4.887,2,0.415,9
319,10,1,2967.5,31.596,0.659,-1.6,11.0,4.824,2,0.39,9
320,10,1,2968.0,33.212,0.574,-3.1,14.45,4.765,2,0.366,9
321,10,1,2968.5,34.689,0.517,-3.0,16.4,4.766,2,0.341,9
322,10,1,2969.0,39.266,0.493,-1.9,16.15,4.705,2,0.317,9
323,10,1,2969.5,50.103,0.499,-2.0,14.6,4.453,2,0.293,9
324,10,1,2970.0,65.167,0.525,-1.6,13.1,4.366,2,0.268,9
325,10,1,2970.5,76.436,0.557,-0.6,11.7,4.289,2,0.244,9
326,10,1,2971.0,92.886,0.628,-0.2,9.4,4.272,2,0.195,9
327,10,1,2971.5,99.643,0.683,-0.3,7.95,4.395,2,0.171,9
328,10,1,2972.0,101.585,0.757,0.0,6.5,4.51,2,0.146,9
329,10,1,2972.5,95.775,0.85,1.6,4.9,4.53,2,0.122,4
330,10,1,2973.0,87.036,0.951,2.1,3.95,4.456,2,0.098,4
331,10,1,2973.5,72.331,1.019,2.6,3.6,4.056,2,0.073,4
332,10,1,2974.0,58.859,0.991,3.4,3.9,3.712,2,0.049,4
333,10,1,2974.5,60.932,0.857,1.3,7.35,3.371,2,0.024,4
334,13,1,2975.0,67.655,0.675,-0.8,14.4,3.131,1,1.0,8
335,13,1,2975.5,77.219,0.528,6.8,20.9,3.008,1,0.977,4
336,13,1,2976.0,82.115,0.459,10.6,24.2,2.988,1,0.953,4
337,13,1,2976.5,84.865,0.446,9.4,23.7,3.134,1,0.93,4
338,13,1,2977.0,84.384,0.449,13.3,21.45,3.409,1,0.907,4
339,13,1,2977.5,81.772,0.443,14.8,20.9,3.483,1,0.884,4
340,13,1,2978.0,78.998,0.444,16.5,20.65,3.438,1,0.837,9
341,13,1,2978.5,79.896,0.457,14.9,20.15,3.423,1,0.814,9
342,13,1,2979.0,79.194,0.462,14.8,19.9,3.45,1,0.791,9
343,13,1,2979.5,78.99,0.451,13.5,19.65,3.393,1,0.767,9
344,13,1,2980.0,79.21,0.441,15.1,18.95,3.475,1,0.744,9
345,13,1,2980.5,78.1,0.451,15.6,17.5,3.478,1,0.721,9
346,13,1,2981.0,78.59,0.489,14.3,16.75,3.505,1,0.698,9
347,13,1,2981.5,79.439,0.544,12.7,15.25,3.478,1,0.674,9
348,13,1,2982.0,81.299,0.576,11.5,14.65,3.453,1,0.651,9
349,13,1,2982.5,78.933,0.494,11.9,14.85,3.479,1,0.605,9
350,13,1,2983.0,79.471,0.441,13.4,16.3,3.494,1,0.581,4
351,13,1,2983.5,81.895,0.431,14.2,16.8,3.441,1,0.558,9
352,13,1,2984.0,82.768,0.468,14.3,16.05,3.493,1,0.535,4
353,13,1,2984.5,79.022,0.537,12.9,15.05,3.5,1,0.512,9
